"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.725738704960671E9,"2024-09-08 01:21:44.961 UTC+05:30"
"PAUSE",2.630262949998723E1,1.725738731262818E9,"2024-09-08 01:22:11.263 UTC+05:30"
