"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.725783428222901E9,"2024-09-08 13:47:08.223 UTC+05:30"
"PAUSE",1.218727187498007E1,1.725783440410046E9,"2024-09-08 13:47:20.410 UTC+05:30"
