"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.111644167E-1,3.106513977E0,-1.869727707E1,-2.978805923E1
8.211034167E-1,2.873418331E0,-1.874917984E1,-2.971387100E1
8.310424167E-1,2.949061394E0,-1.883738327E1,-2.966716003E1
8.409813750E-1,2.992127419E0,-1.881278610E1,-2.954771805E1
8.509203750E-1,2.893859863E0,-1.876397705E1,-2.942234421E1
8.608593750E-1,2.982343674E0,-1.879382706E1,-2.959129333E1
8.707983750E-1,3.044019222E0,-1.870792007E1,-2.948514557E1
8.807373750E-1,3.148857117E0,-1.873765945E1,-2.974356461E1
8.906763750E-1,3.176948547E0,-1.876229858E1,-2.972803879E1
9.006153750E-1,3.039422512E0,-1.872415161E1,-2.991484833E1
9.105543750E-1,2.925965309E0,-1.858792496E1,-3.006949997E1
9.204933750E-1,2.894885540E0,-1.850717163E1,-3.017896652E1
9.304323750E-1,2.922139168E0,-1.861561584E1,-3.008204651E1
9.403713750E-1,2.915464878E0,-1.868846512E1,-2.996857452E1
9.503103750E-1,2.860961437E0,-1.863677979E1,-2.992481613E1
9.602493750E-1,2.894079685E0,-1.862412262E1,-2.996949768E1
9.701883750E-1,2.858630180E0,-1.845155144E1,-3.003391266E1
9.801273750E-1,2.891647816E0,-1.849644470E1,-3.039236832E1
9.900663750E-1,2.837568760E0,-1.851186371E1,-3.030257034E1
1.000005375E0,2.961519718E0,-1.861434174E1,-3.023347092E1
1.009944375E0,2.958831787E0,-1.869722748E1,-3.023668289E1
1.019883375E0,3.040657043E0,-1.867836380E1,-2.993169785E1
1.029822375E0,3.054088116E0,-1.875962448E1,-3.032007980E1
1.039761375E0,3.054088116E0,-1.875962448E1,-3.032007980E1
1.049700375E0,2.911952972E0,-1.873291016E1,-3.026417160E1
1.059639375E0,2.888528824E0,-1.872042847E1,-3.022550964E1
1.069577375E0,2.920515537E0,-1.857837296E1,-3.019158173E1
1.079516375E0,2.996883869E0,-1.864122963E1,-3.009035110E1
1.089455375E0,2.968754768E0,-1.867409515E1,-3.003750229E1
1.099394375E0,2.888419628E0,-1.870233536E1,-3.014822769E1
1.109333375E0,3.055930138E0,-1.872784805E1,-3.018866730E1
1.119272375E0,2.897074699E0,-1.878391647E1,-3.028094482E1
1.129211375E0,2.926779270E0,-1.875570679E1,-3.018575668E1
1.139150375E0,2.990261078E0,-1.874155426E1,-3.016689682E1
1.149089375E0,2.886331558E0,-1.868079567E1,-2.996760559E1
1.159028375E0,2.700020313E0,-1.863728333E1,-2.996995163E1
1.168967375E0,3.008477688E0,-1.880365944E1,-3.013322449E1
1.178906375E0,2.867784977E0,-1.865477371E1,-3.012442780E1
1.188845375E0,2.900628567E0,-1.861684418E1,-3.003035736E1
1.198784375E0,3.013110161E0,-1.862430000E1,-2.989752579E1
1.208723375E0,2.822360992E0,-1.870372772E1,-2.986104202E1
1.218662375E0,2.904620171E0,-1.862594032E1,-3.013655853E1
1.228601375E0,2.766999245E0,-1.863325310E1,-3.028932190E1
