"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.288435000E-1,9.744735718E-2,3.478765869E-1,9.903405762E0,9.909992926E0
6.387825001E-1,1.463955688E-1,3.477268982E-1,9.910590820E0,9.917769712E0
6.487215001E-1,1.374142456E-1,3.514691162E-1,9.834698639E0,9.841936320E0
6.586605001E-1,1.291813660E-1,3.661386108E-1,9.827663269E0,9.835329717E0
6.685994999E-1,1.230441284E-1,3.499722290E-1,9.852511597E0,9.859493150E0
6.785384999E-1,1.199006653E-1,3.606001282E-1,9.863738251E0,9.871055714E0
6.884774999E-1,1.314266968E-1,3.472778320E-1,9.858798523E0,9.865788523E0
6.984154999E-1,1.272354126E-1,3.555107117E-1,9.869276733E0,9.876497353E0
7.083544999E-1,1.182540894E-1,3.604504395E-1,9.871821442E0,9.879107608E0
7.182934999E-1,1.149609375E-1,3.608995056E-1,9.881700897E0,9.888957331E0
7.282352082E-1,1.121168518E-1,3.474275208E-1,9.873168640E0,9.879915742E0
7.381742082E-1,1.151106262E-1,3.454815674E-1,9.847422180E0,9.854153011E0
7.481132082E-1,1.276844788E-1,3.549119568E-1,9.851912842E0,9.859130411E0
7.580522082E-1,1.438508606E-1,3.350033569E-1,9.849966888E0,9.856711826E0
7.679912082E-1,1.396595764E-1,3.465293884E-1,9.854158173E0,9.861238295E0
7.779302082E-1,1.199006653E-1,3.541635132E-1,9.862241364E0,9.869326860E0
7.878692083E-1,1.261875916E-1,3.475772095E-1,9.883347473E0,9.890262408E0
7.978082083E-1,1.408570862E-1,3.580554199E-1,9.874515839E0,9.882009282E0
8.077472083E-1,1.392105103E-1,3.567082214E-1,9.853260040E0,9.860697427E0
8.176862083E-1,1.240919495E-1,3.610491943E-1,9.877659302E0,9.885034578E0
8.276252083E-1,1.188528442E-1,3.459306335E-1,9.880653076E0,9.887421262E0
8.375642083E-1,1.173559570E-1,3.403921509E-1,9.875114594E0,9.881676349E0
8.475032083E-1,1.279838562E-1,3.375480652E-1,9.861642609E0,9.868247742E0
8.574422083E-1,1.263372803E-1,3.540138245E-1,9.869576111E0,9.876731216E0
8.673812083E-1,1.263372803E-1,3.526666260E-1,9.882748718E0,9.889846161E0
8.773202084E-1,1.224453735E-1,3.486250305E-1,9.895023193E0,9.901919828E0
8.872592084E-1,1.209484863E-1,3.439846802E-1,9.869576111E0,9.876309362E0
8.971982084E-1,1.225950623E-1,3.342549133E-1,9.855954437E0,9.862382763E0
9.071372084E-1,1.285826111E-1,3.450325012E-1,9.872420197E0,9.879284461E0
9.170762084E-1,1.305285645E-1,3.508703613E-1,9.860594788E0,9.867698682E0
9.270152084E-1,1.448986816E-1,3.474275208E-1,9.845476227E0,9.852669874E0
9.369542082E-1,1.333726501E-1,3.535647583E-1,9.853260040E0,9.860503523E0
9.468932082E-1,1.345701599E-1,3.382965088E-1,9.873917084E0,9.880627117E0
9.568322082E-1,1.297801208E-1,3.451821899E-1,9.874366150E0,9.881249946E0
9.667712082E-1,1.140628052E-1,3.576063538E-1,9.859397278E0,9.866539784E0
