"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.168094585E-1,-7.671546936E-1,5.688171387E-1,9.943372650E0,9.989131039E0
6.267484585E-1,-8.107141113E-1,6.586303711E-1,9.663155365E0,9.719445609E0
6.366874583E-1,-7.679031372E-1,6.328839111E-1,9.506131897E0,9.558073075E0
6.466264583E-1,-6.568341064E-1,5.075944519E-1,9.675280151E0,9.710825360E0
6.565664583E-1,-4.266128540E-1,4.742138672E-1,9.851763153E0,9.872391531E0
6.665054583E-1,-2.049238586E-1,4.813989258E-1,9.944420471E0,9.958174392E0
6.764444583E-1,-1.387614441E-1,4.757107544E-1,9.923464050E0,9.935828814E0
6.863834583E-1,-2.062710571E-1,4.578977966E-1,9.853409729E0,9.866199949E0
6.963234583E-1,-3.324586487E-1,4.727169800E-1,9.857301636E0,9.874228356E0
7.062624583E-1,-4.462220764E-1,5.037025452E-1,9.879006500E0,9.901898799E0
7.162014584E-1,-4.869374084E-1,4.960684204E-1,9.903106384E0,9.927472386E0
7.261404584E-1,-4.902305603E-1,5.014572144E-1,9.889335022E0,9.914168272E0
7.360794584E-1,-4.842430115E-1,5.577401733E-1,9.872569885E0,9.900161692E0
7.460194584E-1,-5.270539856E-1,6.059399414E-1,9.823172607E0,9.855945880E0
7.559584584E-1,-5.135820007E-1,6.794371033E-1,9.704619141E0,9.741921469E0
7.658974584E-1,-5.565426636E-1,7.822732544E-1,9.639354858E0,9.687045642E0
7.758364584E-1,-5.550457764E-1,8.794212341E-1,9.639354858E0,9.695288526E0
7.857764584E-1,-6.060896301E-1,9.083111572E-1,9.708511047E0,9.769726739E0
7.957154585E-1,-6.246510315E-1,8.812174988E-1,9.750723267E0,9.810368872E0
8.056544585E-1,-5.438191223E-1,8.119116211E-1,9.788594513E0,9.837251763E0
8.155934585E-1,-4.834945679E-1,6.818321228E-1,9.808952179E0,9.844501251E0
