"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.586208310E-3,-1.167272644E0,9.029672699E0,3.337459717E0
1.552520832E-2,-1.075064392E0,9.075178070E0,3.320245514E0
2.546420833E-2,-1.010398865E0,9.100325775E0,3.248544617E0
3.540320828E-2,-1.030457153E0,9.088200989E0,3.185825043E0
4.534220829E-2,-1.125958557E0,9.076076202E0,3.152294769E0
5.528120830E-2,-1.231189728E0,9.056167603E0,3.192411346E0
6.522020831E-2,-1.239721985E0,9.087602234E0,3.241509247E0
7.515820832E-2,-1.194216614E0,9.109905853E0,3.371439056E0
8.509720833E-2,-1.154399414E0,9.091194763E0,3.587439880E0
9.503620828E-2,-1.057550812E0,9.082063751E0,3.754193115E0
1.049752083E-1,-9.451345825E-1,9.118288422E0,3.854185181E0
1.149142083E-1,-8.641529846E-1,9.155860291E0,3.802692261E0
1.248532083E-1,-8.701405334E-1,9.162296906E0,3.855083313E0
1.347922083E-1,-8.813671875E-1,9.145082703E0,3.848796387E0
1.447312083E-1,-8.614585876E-1,9.169332275E0,3.793411560E0
1.546702083E-1,-8.901988220E-1,9.176667023E0,3.707190857E0
1.646082083E-1,-8.765771484E-1,9.185348969E0,3.589834900E0
1.745472083E-1,-8.628057861E-1,9.166039124E0,3.478466492E0
1.844862083E-1,-8.599617004E-1,9.145382080E0,3.436254272E0
1.944252083E-1,-8.999285889E-1,9.116492157E0,3.542682953E0
2.043642083E-1,-9.476792908E-1,9.068292389E0,3.647315369E0
2.143032083E-1,-9.843530273E-1,9.087901611E0,3.673211517E0
2.242422083E-1,-9.535171509E-1,9.092392273E0,3.661685486E0
2.341812083E-1,-9.520202637E-1,9.063951416E0,3.616030426E0
2.441202083E-1,-9.421408081E-1,9.063502350E0,3.600163422E0
2.540582083E-1,-8.954379272E-1,9.066047058E0,3.575614471E0
2.639972083E-1,-8.732839966E-1,9.060358887E0,3.543581085E0
2.739362083E-1,-8.193960571E-1,9.083111572E0,3.465593262E0
2.838752083E-1,-8.180488586E-1,9.056916046E0,3.547023926E0
2.938142083E-1,-8.277786255E-1,9.060508575E0,3.595822449E0
3.037532083E-1,-8.910969543E-1,9.086554413E0,3.566333771E0
3.136922083E-1,-9.132508850E-1,9.102421417E0,3.501219177E0
3.236312083E-1,-9.327104187E-1,9.112899628E0,3.592080231E0
3.335702083E-1,-9.451345825E-1,9.130263519E0,3.713028717E0
3.435082083E-1,-9.285191345E-1,9.132808228E0,3.655847626E0
3.534472083E-1,-9.618997192E-1,9.092392273E0,3.629801788E0
3.633862083E-1,-9.713301086E-1,9.095236359E0,3.616778870E0
3.733252083E-1,-9.678872681E-1,9.153914337E0,3.622467041E0
3.832642083E-1,-9.704319763E-1,9.179361420E0,3.650907898E0
3.932032083E-1,-9.512718201E-1,9.184750214E0,3.662284241E0
4.031422083E-1,-8.872050476E-1,9.192084961E0,3.673959961E0
4.130812083E-1,-8.334667969E-1,9.137298889E0,3.677851868E0
4.230202083E-1,-7.810757446E-1,9.116941223E0,3.604205017E0
4.329582083E-1,-7.592211914E-1,9.114845581E0,3.558100891E0
4.428972083E-1,-7.714956665E-1,9.113797760E0,3.540737000E0
4.528362083E-1,-8.092172241E-1,9.129066010E0,3.560346222E0
4.627752083E-1,-8.572673035E-1,9.117390289E0,3.568130035E0
