"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.304020832E-2,1.906268120E1,-2.624960327E1,7.941955566E0
2.297920833E-2,1.906126213E1,-2.625035858E1,7.763351440E0
3.291720833E-2,1.906126213E1,-2.625035858E1,7.763351440E0
4.285620828E-2,1.909730911E1,-2.619775772E1,7.711725235E0
5.279520829E-2,1.907622719E1,-2.644413948E1,7.825058937E0
6.273420830E-2,1.920263672E1,-2.640328026E1,7.413044930E0
7.267320831E-2,1.919003868E1,-2.646107674E1,7.349052429E0
8.261220832E-2,1.941071129E1,-2.642388535E1,7.211123466E0
9.255120833E-2,1.933077812E1,-2.638763618E1,7.266530991E0
1.024902083E-1,1.914838219E1,-2.641593933E1,7.290902138E0
1.124292083E-1,1.900247383E1,-2.636242867E1,7.140823364E0
1.223672083E-1,1.916525078E1,-2.646659851E1,7.084343910E0
1.323062083E-1,1.913069153E1,-2.635075760E1,6.990558624E0
1.422452083E-1,1.915736961E1,-2.641078186E1,7.047472000E0
1.521842083E-1,1.925255203E1,-2.636604881E1,6.886230469E0
1.621232083E-1,1.924989510E1,-2.641572380E1,7.104321480E0
1.720622083E-1,1.926930046E1,-2.648505211E1,7.108777046E0
1.820012083E-1,1.920872688E1,-2.656316376E1,7.004945755E0
1.919402083E-1,1.927409935E1,-2.658951950E1,7.109399796E0
2.018792083E-1,1.912912941E1,-2.634837723E1,6.972146034E0
2.118172083E-1,1.908249855E1,-2.648741150E1,6.982707024E0
2.217562083E-1,1.911338234E1,-2.646670341E1,7.102993965E0
2.316952083E-1,1.905579185E1,-2.656643295E1,7.226848602E0
2.416342083E-1,1.915947723E1,-2.648677063E1,6.971515656E0
2.515732083E-1,1.917083359E1,-2.627507782E1,7.191404343E0
2.615122083E-1,1.916510391E1,-2.645602608E1,6.892012596E0
2.714512083E-1,1.929498863E1,-2.653191376E1,7.173121452E0
2.813902083E-1,1.915685272E1,-2.642990875E1,7.099637985E0
2.913292083E-1,1.924012375E1,-2.648597908E1,6.895827293E0
3.012672083E-1,1.924012375E1,-2.648597908E1,6.895827293E0
3.112062083E-1,1.921941757E1,-2.645470428E1,6.857273102E0
3.211452083E-1,1.919760895E1,-2.632927322E1,6.953571320E0
3.310842083E-1,1.911741257E1,-2.637444115E1,7.095848083E0
3.410232083E-1,1.928025818E1,-2.633073997E1,6.981093407E0
3.509622083E-1,1.926081467E1,-2.649415970E1,6.923108101E0
3.609012083E-1,1.920958710E1,-2.638520432E1,6.932552338E0
3.708402083E-1,1.923947906E1,-2.634886742E1,6.855051994E0
3.807792083E-1,1.911659050E1,-2.625867462E1,6.744115829E0
3.907172083E-1,1.915721893E1,-2.634956741E1,6.681519508E0
4.006562083E-1,1.909461975E1,-2.644848633E1,6.773103714E0
4.105952083E-1,1.910996628E1,-2.651342583E1,6.760297775E0
4.205342083E-1,1.899628830E1,-2.638574219E1,6.690654755E0
4.304732083E-1,1.909038544E1,-2.640784836E1,6.695023537E0
4.404122083E-1,1.910106468E1,-2.649750328E1,6.629549026E0
4.503512083E-1,1.910161591E1,-2.643534470E1,6.803494453E0
4.602902083E-1,1.904303360E1,-2.650157547E1,6.907776833E0
4.702292083E-1,1.907873535E1,-2.633163261E1,6.806137085E0
4.801682083E-1,1.912056351E1,-2.626978302E1,6.423727989E0
4.901062083E-1,1.916263008E1,-2.645216179E1,6.583533287E0
5.000452083E-1,1.920492744E1,-2.647668076E1,6.633829117E0
5.099842083E-1,1.908380127E1,-2.661352539E1,6.844227791E0
5.199232083E-1,1.913752747E1,-2.659967422E1,6.752125740E0
5.298622083E-1,1.905111504E1,-2.651006126E1,6.663811684E0
5.398012083E-1,1.921773720E1,-2.652140999E1,6.558542252E0
5.497402083E-1,1.924229050E1,-2.660734940E1,6.541156769E0
5.596792083E-1,1.913923454E1,-2.649651718E1,6.622881889E0
5.696182083E-1,1.922772980E1,-2.657897949E1,6.693397522E0
5.795562083E-1,1.922772980E1,-2.657897949E1,6.693397522E0
5.894952083E-1,1.912720871E1,-2.658377075E1,6.593314171E0
5.994342083E-1,1.918062210E1,-2.656054115E1,6.611484528E0
6.093732083E-1,1.919805145E1,-2.644354820E1,6.797970772E0
6.193122083E-1,1.926833344E1,-2.640325356E1,6.666795731E0
6.292512083E-1,1.919247055E1,-2.653070068E1,6.646469116E0
6.391902083E-1,1.909729576E1,-2.648912239E1,6.752922058E0
6.491292083E-1,1.908086205E1,-2.656162453E1,6.644226074E0
6.590682083E-1,1.916158104E1,-2.658362389E1,6.702386856E0
6.690062083E-1,1.919550323E1,-2.655689812E1,6.829649925E0
6.789449583E-1,1.921304893E1,-2.665173721E1,6.659590721E0
6.888839583E-1,1.920260811E1,-2.647354126E1,6.547058105E0
6.988229583E-1,1.924569130E1,-2.666300964E1,6.504474640E0
7.087619583E-1,1.926236343E1,-2.671386719E1,6.489811897E0
7.187009583E-1,1.917704010E1,-2.676745415E1,6.445478439E0
7.286399583E-1,1.923365402E1,-2.683655357E1,6.488892555E0
7.385789583E-1,1.917713165E1,-2.666650009E1,6.555763245E0
7.485179583E-1,1.912480354E1,-2.676626396E1,6.402464867E0
7.584569583E-1,1.920216179E1,-2.692974281E1,6.302703857E0
7.683949583E-1,1.929702187E1,-2.664238358E1,6.396766663E0
7.783339583E-1,1.925208282E1,-2.660925102E1,6.467344284E0
7.882729583E-1,1.928526115E1,-2.669616508E1,6.491743088E0
7.982119583E-1,1.924839783E1,-2.662220001E1,6.471582413E0
8.081509583E-1,1.922845268E1,-2.660296059E1,6.400043488E0
8.180899583E-1,1.922027588E1,-2.676473999E1,6.310223579E0
8.280289583E-1,1.923181343E1,-2.672634888E1,6.265230179E0
8.379679583E-1,1.916684914E1,-2.659912300E1,6.378274918E0
8.479069583E-1,1.916684914E1,-2.659912300E1,6.378274918E0
8.578459583E-1,1.923797989E1,-2.661429596E1,6.417641640E0
8.677839583E-1,1.920053482E1,-2.673995590E1,6.389308929E0
8.777229583E-1,1.922764587E1,-2.673192406E1,6.345942497E0
8.876619583E-1,1.908320427E1,-2.700829124E1,6.253159523E0
8.976009583E-1,1.912950897E1,-2.691729164E1,6.303973198E0
9.075399583E-1,1.922346687E1,-2.680190277E1,5.964440346E0
9.174789583E-1,1.931633759E1,-2.698009109E1,6.078484535E0
9.274179583E-1,1.927009010E1,-2.724711609E1,6.148624420E0
9.373569583E-1,1.927891350E1,-2.712318611E1,6.070528984E0
9.472959583E-1,1.926384926E1,-2.708210754E1,6.013130188E0
9.572349583E-1,1.927667809E1,-2.716550636E1,5.808832169E0
9.671729583E-1,1.916340828E1,-2.725733566E1,5.676807404E0
9.771119583E-1,1.914692307E1,-2.724967575E1,5.516339302E0
9.870509583E-1,1.921627426E1,-2.728377914E1,5.585908890E0
9.969899583E-1,1.923484421E1,-2.728671837E1,5.328432083E0
1.006928958E0,1.935039139E1,-2.735545158E1,5.227119446E0
1.016867958E0,1.938311386E1,-2.750610352E1,4.842084885E0
1.026806958E0,1.941229439E1,-2.769192696E1,4.358627319E0
1.036745958E0,1.965520477E1,-2.787392807E1,3.772548676E0
1.046684958E0,1.965586472E1,-2.796922684E1,3.450376511E0
1.056623958E0,1.974610901E1,-2.795843887E1,2.769220352E0
1.066561958E0,1.980957413E1,-2.799269104E1,2.393791199E0
1.076500958E0,2.003189659E1,-2.807585907E1,1.961141586E0
1.086439958E0,2.015876770E1,-2.812608910E1,1.073089600E0
1.096378958E0,2.027303505E1,-2.823435020E1,4.302253723E-1
1.106317958E0,2.030294800E1,-2.829161072E1,-3.777141571E-1
1.116256958E0,2.032665634E1,-2.826708221E1,-1.321010590E0
1.126195958E0,2.032665634E1,-2.826708221E1,-1.321010590E0
1.136134958E0,2.033449554E1,-2.847540855E1,-2.237400055E0
1.146073958E0,2.047901726E1,-2.858399582E1,-3.306247711E0
1.156012958E0,2.063551903E1,-2.836235046E1,-4.218166351E0
1.165950958E0,2.069444847E1,-2.826926994E1,-5.433687210E0
1.175889958E0,2.077744865E1,-2.810783386E1,-6.468435287E0
1.185828958E0,2.075366211E1,-2.786311913E1,-7.488367081E0
1.195767958E0,2.083044434E1,-2.764555931E1,-8.477535248E0
1.205706958E0,2.099130058E1,-2.745061684E1,-9.421945572E0
1.215645958E0,2.090506363E1,-2.741426086E1,-1.008304405E1
1.225584958E0,2.102043152E1,-2.726282310E1,-1.063294411E1
1.235523958E0,2.112443733E1,-2.707352448E1,-1.114927292E1
1.245462958E0,2.125026321E1,-2.700598145E1,-1.210684967E1
1.255401958E0,2.154993629E1,-2.678128624E1,-1.238499451E1
1.265339958E0,2.175426483E1,-2.658352852E1,-1.299139023E1
1.275278958E0,2.183761215E1,-2.639328384E1,-1.363748932E1
1.285217958E0,2.213816261E1,-2.590047836E1,-1.472502136E1
1.295156958E0,2.234299278E1,-2.552977371E1,-1.548249435E1
1.305095958E0,2.255325127E1,-2.520798874E1,-1.644062805E1
1.315034958E0,2.271303940E1,-2.473954391E1,-1.752347183E1
1.324973958E0,2.286287308E1,-2.415992928E1,-1.862364960E1
1.334912958E0,2.301568222E1,-2.328549194E1,-1.977499771E1
